filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
IMG_2198.JPG,5676827,"{}",4,0,"{""name"":""rect"",""x"":1081,""y"":208,""width"":1149,""height"":2308}","{"""":{""hello"":false},""candy_type"":""Baby_Ruth""}"
IMG_2198.JPG,5676827,"{}",4,1,"{""name"":""rect"",""x"":2230,""y"":1632,""width"":2168,""height"":1149}","{"""":{""hello"":false},""candy_type"":""Crunch""}"
IMG_2198.JPG,5676827,"{}",4,2,"{""name"":""rect"",""x"":1981,""y"":2828,""width"":1934,""height"":1035}","{"""":{""hello"":false},""candy_type"":""100_Grand""}"
IMG_2198.JPG,5676827,"{}",4,3,"{""name"":""rect"",""x"":2875,""y"":10,""width"":1024,""height"":1320}","{"""":{""hello"":false},""candy_type"":""Snickers""}"
IMG_2199.JPG,6565954,"{}",4,0,"{""name"":""rect"",""x"":832,""y"":1331,""width"":1336,""height"":1840}","{"""":{""hello"":false},""candy_type"":""Crunch""}"
IMG_2199.JPG,6565954,"{}",4,1,"{""name"":""rect"",""x"":2069,""y"":1346,""width"":972,""height"":1206}","{"""":{""hello"":false},""candy_type"":""Snickers""}"
IMG_2199.JPG,6565954,"{}",4,2,"{""name"":""rect"",""x"":1809,""y"":21,""width"":2147,""height"":1653}","{"""":{""hello"":false},""candy_type"":""Baby_Ruth""}"
IMG_2199.JPG,6565954,"{}",4,3,"{""name"":""rect"",""x"":2657,""y"":2428,""width"":1851,""height"":1388}","{"""":{""hello"":false},""candy_type"":""100_Grand""}"
IMG_2200.JPG,6291720,"{}",4,0,"{""name"":""rect"",""x"":504,""y"":421,""width"":2308,""height"":1388}","{"""":{""hello"":false},""candy_type"":""100_Grand""}"
IMG_2200.JPG,6291720,"{}",4,1,"{""name"":""rect"",""x"":1658,""y"":1835,""width"":1638,""height"":1835}","{"""":{""hello"":false},""candy_type"":""Crunch""}"
IMG_2200.JPG,6291720,"{}",4,2,"{""name"":""rect"",""x"":3010,""y"":2329,""width"":1445,""height"":1404}","{"""":{""hello"":false},""candy_type"":""Twix""}"
IMG_2200.JPG,6291720,"{}",4,3,"{""name"":""rect"",""x"":2979,""y"":151,""width"":1217,""height"":2168}","{"""":{""hello"":false},""candy_type"":""Baby_Ruth""}"
IMG_2201.JPG,6211164,"{}",4,0,"{""name"":""rect"",""x"":1024,""y"":2028,""width"":1061,""height"":1747}","{"""":{""hello"":false},""candy_type"":""100_Grand""}"
IMG_2201.JPG,6211164,"{}",4,1,"{""name"":""rect"",""x"":1939,""y"":1253,""width"":1643,""height"":1856}","{"""":{""hello"":false},""candy_type"":""Crunch""}"
IMG_2201.JPG,6211164,"{}",4,2,"{""name"":""rect"",""x"":3530,""y"":1227,""width"":749,""height"":1487}","{"""":{""hello"":false},""candy_type"":""Twix""}"
IMG_2201.JPG,6211164,"{}",4,3,"{""name"":""rect"",""x"":2282,""y"":42,""width"":2069,""height"":1165}","{"""":{""hello"":false},""candy_type"":""Baby_Ruth""}"
IMG_2202.JPG,6165620,"{}",4,0,"{""name"":""rect"",""x"":1331,""y"":2766,""width"":1586,""height"":1071}","{"""":{""hello"":false},""candy_type"":""Crunch""}"
IMG_2202.JPG,6165620,"{}",4,1,"{""name"":""rect"",""x"":1726,""y"":1331,""width"":1315,""height"":1461}","{"""":{""hello"":false},""candy_type"":""Twix""}"
IMG_2202.JPG,6165620,"{}",4,2,"{""name"":""rect"",""x"":3312,""y"":863,""width"":1009,""height"":1794}","{"""":{""hello"":false},""candy_type"":""Baby_Ruth""}"
IMG_2202.JPG,6165620,"{}",4,3,"{""name"":""rect"",""x"":1378,""y"":73,""width"":2002,""height"":977}","{"""":{""hello"":false},""candy_type"":""100_Grand""}"
IMG_2203.JPG,5083093,"{}",4,0,"{""name"":""rect"",""x"":681,""y"":1622,""width"":1752,""height"":2121}","{"""":{""hello"":false},""candy_type"":""100_Grand""}"
IMG_2203.JPG,5083093,"{}",4,1,"{""name"":""rect"",""x"":1612,""y"":21,""width"":2251,""height"":1825}","{"""":{""hello"":false},""candy_type"":""Baby_Ruth""}"
IMG_2203.JPG,5083093,"{}",4,2,"{""name"":""rect"",""x"":2007,""y"":1300,""width"":2147,""height"":2017}","{"""":{""hello"":false},""candy_type"":""Crunch""}"
